ti,tf,T,S,Archivo
528,530,3,1.7248000000000019,28
533,536,4,5.518999999999998,28
616,622,7,24.98011,28
670,673,4,5.863629999999999,28
680,681,2,0.8382000000000005,28
686,686,1,0.1974999999999998,28
709,709,1,0.2029999999999994,28
755,755,1,0.2589000000000006,28
766,766,1,0.23660000000000103,28
792,792,1,0.2273000000000014,28
910,910,1,0.19000000000000128,28
170,170,1,0.19930000000000092,29
184,184,1,0.18619999999999948,29
262,262,1,0.18820000000000192,29
413,415,3,1.1398999999999972,29
457,460,4,4.7181,29
468,473,6,13.651499999999999,29
535,537,3,1.7546,29
542,543,2,0.8121000000000009,29
553,558,6,7.331500000000002,29
560,562,3,1.7266899999999996,29
578,578,1,0.2589100000000002,29
604,604,1,0.23282999999999987,29
607,607,1,0.2905800000000003,29
618,622,5,3.93207,29
701,708,8,17.590970000000002,29
755,755,1,0.18629999999999924,29
901,901,1,0.29240000000000066,29
909,910,2,0.8177000000000021,29
111,111,1,0.18259999999999366,30
181,181,1,0.23099999999999454,30
444,445,2,0.6873000000000005,30
465,471,7,20.5004,30
543,545,3,2.4010000000000016,30
553,556,4,4.170439999999999,30
563,563,1,0.20115999999999978,30
575,581,7,12.60458,30
668,668,1,0.18253999999999948,30
681,681,1,0.24399999999999977,30
700,700,1,0.3240999999999996,30
709,709,1,0.19185000000000052,30
716,718,3,0.9052399999999992,30
726,732,7,10.220429999999999,30
758,758,1,0.27190000000000225,30
798,799,2,0.42279999999999873,30
805,805,1,0.18249999999999744,30
869,870,2,0.4527000000000001,30
949,952,4,1.3205999999999989,30
194,194,1,0.22719999999999985,31
213,213,1,0.2458999999999989,31
230,231,2,0.6295999999999999,31
365,368,4,2.9263000000000012,31
409,410,2,0.7376000000000005,31
427,427,1,0.232800000000001,31
443,447,5,6.070300000000003,31
478,481,4,3.7607,31
490,491,2,0.4861000000000004,31
512,513,2,0.6873000000000005,31
524,528,5,9.264869999999998,31
549,552,4,3.1087700000000003,31
586,586,1,0.20489099999999993,31
608,613,6,4.818694,31
639,642,4,2.76975,31
644,644,1,0.24399999999999977,31
652,652,1,0.3855699999999995,31
662,665,4,1.9576100000000007,31
688,688,1,0.26259999999999906,31
690,690,1,0.23099999999999987,31
716,720,5,13.494900000000001,31
753,754,2,0.6016000000000012,31
758,758,1,0.2123000000000026,31
783,783,1,0.21979999999999933,31
849,850,2,0.5625999999999998,31
909,909,1,0.21229999999999905,31
982,982,1,0.23279999999999745,31
377,378,2,0.6743000000000023,32
401,402,2,0.9554999999999971,32
464,466,3,1.5030999999999999,32
470,471,2,0.5382999999999996,32
484,488,5,4.930400000000002,32
495,499,5,13.759449999999998,32
583,586,4,3.88178,32
594,597,4,1.9185400000000001,32
