DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
14,14,14,14,14,42,25,54,218,45,31,14,137,148,46,3,103,52,39,9,9,142,101,63,62,51,20,31,37,70,103,65,18,301,168,73,268,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,38,38,38,16,69,23,6,15,63,5,52,199,41,38,27,125,9,7,9,133,97,136,59,83,52,43,35,132,42,30,103,10,193,57,89,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,25,25,25,118,152,98,11,190,9,137,42,17,10,78,9,199,110,71,96,24,38,19,86,7,43,21,137,51,6,21,25,86,4,103,114,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,70,70,70,19,8,8,65,141,20,52,49,14,17,9,41,28,4,51,34,16,44,4,81,13,80,56,83,48,76,136,39,65,100,25,197,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,28,28,28,4,33,44,34,31,77,42,148,17,91,4,20,18,90,9,3,87,139,35,51,108,48,103,33,74,40,216,52,107,149,172,71,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,42,42,42,14,11,155,32,63,14,49,199,5,198,70,4,31,27,9,142,7,12,16,83,68,8,7,142,2,59,77,117,96,126,188,28,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,16,16,16,25,22,14,16,9,5,148,17,4,45,3,47,69,42,96,133,91,61,74,7,130,80,84,109,60,21,35,18,51,140,80,165,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,118,118,118,69,37,14,20,20,30,199,14,46,10,35,13,39,9,34,24,70,17,62,13,27,60,91,88,3,158,68,91,25,5,61,32,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,19,19,19,76,30,77,45,28,107,17,17,41,3,30,52,9,162,3,16,97,13,59,108,3,79,130,21,100,107,77,66,33,142,53,207,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,4,4,4,76,45,27,15,49,52,14,5,10,38,103,125,110,7,142,87,38,63,86,68,91,82,37,22,120,86,57,45,62,101,89,69,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,14,14,14,8,48,29,190,14,42,17,4,17,78,27,199,4,71,133,7,44,91,81,130,20,19,35,18,90,27,91,68,150,284,106,95,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,25,25,25,33,3,22,141,5,49,5,46,22,9,9,28,109,51,24,91,139,42,51,27,52,145,137,101,36,196,34,30,144,87,128,200,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,69,69,69,11,7,24,31,30,148,4,41,68,82,41,18,90,9,16,70,12,19,83,3,43,75,83,13,48,67,87,301,168,70,139,265,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,76,76,76,22,18,79,63,107,199,46,10,198,145,20,31,27,9,87,97,61,4,7,91,80,31,33,32,103,82,18,10,94,154,128,114,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,33,33,33,37,36,49,9,52,17,41,17,45,4,4,69,42,52,7,38,17,35,13,20,48,43,142,71,45,207,38,86,95,63,107,59,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,43,43,43,30,3,8,20,42,14,10,22,10,70,47,39,9,96,91,44,13,16,108,52,8,21,102,60,42,147,57,65,4,127,141,84,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,8,8,8,45,54,21,28,49,17,17,68,3,3,13,9,153,34,70,139,63,74,68,43,80,56,4,70,6,80,25,107,100,86,160,83,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,33,33,33,48,23,82,49,148,5,22,55,38,35,52,110,7,3,97,12,91,27,130,80,60,26,88,132,76,81,39,96,149,74,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,11,11,11,3,98,218,14,199,4,68,142,78,30,125,4,7,142,38,61,42,33,27,48,79,74,21,51,40,2,52,51,126,144,18,76,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,22,22,22,7,8,6,5,102,46,55,45,9,103,199,109,71,133,44,17,19,59,3,8,72,7,170,48,59,139,117,25,35,73,146,60,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,37,37,37,18,44,11,30,17,41,142,10,82,27,28,90,51,24,98,13,4,86,91,80,8,84,22,74,185,129,18,33,63,57,125,218,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,30,30,30,36,155,65,31,14,10,45,3,145,9,18,27,9,16,39,63,35,81,20,60,19,91,18,2,21,65,91,62,140,103,108,131,0,0,0,0,0,0,0,0,0,0,0,0,0
